VulnerabilityID,PkgName,InstalledVersion,FixedVersion,Severity,Title,Description,PrimaryURL
CVE-2016-2779,bsdutils,1:2.29.2-1+deb9u1,,HIGH,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2779
CVE-2021-37600,bsdutils,1:2.29.2-1+deb9u1,,LOW,util-linux: integer overflow can lead to buffer overflow in get_sem_elements() in sys-utils/ipcutils.c,"An integer overflow in util-linux through 2.37.1 can potentially cause a buffer overflow if an attacker were able to use system resources in a way that leads to a large number in the /proc/sysvipc/sem file. NOTE: this is unexploitable in GNU C Library environments, and possibly in all realistic environments.",https://avd.aquasec.com/nvd/cve-2021-37600
CVE-2016-2781,coreutils,8.26-3,,LOW,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2781
CVE-2022-1304,e2fslibs,1.43.4-2+deb9u2,,HIGH,e2fsprogs: out-of-bounds read/write via crafted filesystem,An out-of-bounds read/write vulnerability was found in e2fsprogs 1.46.5. This issue leads to a segmentation fault and possibly arbitrary code execution via a specially crafted filesystem.,https://avd.aquasec.com/nvd/cve-2022-1304
CVE-2022-1304,e2fsprogs,1.43.4-2+deb9u2,,HIGH,e2fsprogs: out-of-bounds read/write via crafted filesystem,An out-of-bounds read/write vulnerability was found in e2fsprogs 1.46.5. This issue leads to a segmentation fault and possibly arbitrary code execution via a specially crafted filesystem.,https://avd.aquasec.com/nvd/cve-2022-1304
CVE-2018-12886,gcc-6-base,6.3.0-18+deb9u1,,HIGH,gcc: spilling of stack protection address in cfgexpand.c and function.c leads to stack-overflow protection bypass,"stack_protect_prologue in cfgexpand.c and stack_protect_epilogue in function.c in GNU Compiler Collection (GCC) 4.1 through 8 (under certain circumstances) generate instruction sequences when targeting ARM targets that spill the address of the stack protector guard, which allows an attacker to bypass the protection of -fstack-protector, -fstack-protector-all, -fstack-protector-strong, and -fstack-protector-explicit against stack overflow by controlling what the stack canary is compared against.",https://avd.aquasec.com/nvd/cve-2018-12886
CVE-2018-1000858,gpgv,2.1.18-8~deb9u4,,HIGH,gnupg2: Cross site request forgery in dirmngr resulting in an information disclosure or denial of service,"GnuPG version 2.1.12 - 2.2.11 contains a Cross ite Request Forgery (CSRF) vulnerability in dirmngr that can result in Attacker controlled CSRF, Information Disclosure, DoS. This attack appear to be exploitable via Victim must perform a WKD request, e.g. enter an email address in the composer window of Thunderbird/Enigmail. This vulnerability appears to have been fixed in after commit 4a4bb874f63741026bd26264c43bb32b1099f060.",https://avd.aquasec.com/nvd/cve-2018-1000858
CVE-2018-9234,gpgv,2.1.18-8~deb9u4,,LOW,GnuPG: Unenforced configuration allows for apparently valid certifications actually signed by signing subkeys,"GnuPG 2.2.4 and 2.2.5 does not enforce a configuration in which key certification requires an offline master Certify key, which results in apparently valid certifications that occurred only with access to a signing subkey.",https://avd.aquasec.com/nvd/cve-2018-9234
CVE-2019-14855,gpgv,2.1.18-8~deb9u4,,LOW,gnupg2: OpenPGP Key Certification Forgeries with SHA-1,A flaw was found in the way certificate signatures could be forged using collisions found in the SHA-1 algorithm. An attacker could use this weakness to create forged certificate signatures. This issue affects GnuPG versions before 2.2.18.,https://avd.aquasec.com/nvd/cve-2019-14855
CVE-2016-2779,libblkid1,2.29.2-1+deb9u1,,HIGH,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2779
CVE-2021-37600,libblkid1,2.29.2-1+deb9u1,,LOW,util-linux: integer overflow can lead to buffer overflow in get_sem_elements() in sys-utils/ipcutils.c,"An integer overflow in util-linux through 2.37.1 can potentially cause a buffer overflow if an attacker were able to use system resources in a way that leads to a large number in the /proc/sysvipc/sem file. NOTE: this is unexploitable in GNU C Library environments, and possibly in all realistic environments.",https://avd.aquasec.com/nvd/cve-2021-37600
CVE-2019-12900,libbz2-1.0,1.0.6-8.1,,CRITICAL,bzip2: bzip2: Data integrity error when decompressing (with data integrity tests fail).,BZ2_decompress in decompress.c in bzip2 through 1.0.6 has an out-of-bounds write when there are many selectors.,https://avd.aquasec.com/nvd/cve-2019-12900
CVE-2022-1304,libcomerr2,1.43.4-2+deb9u2,,HIGH,e2fsprogs: out-of-bounds read/write via crafted filesystem,An out-of-bounds read/write vulnerability was found in e2fsprogs 1.46.5. This issue leads to a segmentation fault and possibly arbitrary code execution via a specially crafted filesystem.,https://avd.aquasec.com/nvd/cve-2022-1304
CVE-2019-8457,libdb5.3,5.3.28-12+deb9u1,,CRITICAL,sqlite: heap out-of-bound read in function rtreenode(),SQLite3 from 3.6.0 to and including 3.27.2 is vulnerable to heap out-of-bound read in the rtreenode() function when handling invalid rtree tables.,https://avd.aquasec.com/nvd/cve-2019-8457
CVE-2016-2779,libfdisk1,2.29.2-1+deb9u1,,HIGH,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2779
CVE-2021-37600,libfdisk1,2.29.2-1+deb9u1,,LOW,util-linux: integer overflow can lead to buffer overflow in get_sem_elements() in sys-utils/ipcutils.c,"An integer overflow in util-linux through 2.37.1 can potentially cause a buffer overflow if an attacker were able to use system resources in a way that leads to a large number in the /proc/sysvipc/sem file. NOTE: this is unexploitable in GNU C Library environments, and possibly in all realistic environments.",https://avd.aquasec.com/nvd/cve-2021-37600
CVE-2018-12886,libgcc1,1:6.3.0-18+deb9u1,,HIGH,gcc: spilling of stack protection address in cfgexpand.c and function.c leads to stack-overflow protection bypass,"stack_protect_prologue in cfgexpand.c and stack_protect_epilogue in function.c in GNU Compiler Collection (GCC) 4.1 through 8 (under certain circumstances) generate instruction sequences when targeting ARM targets that spill the address of the stack protector guard, which allows an attacker to bypass the protection of -fstack-protector, -fstack-protector-all, -fstack-protector-strong, and -fstack-protector-explicit against stack overflow by controlling what the stack canary is compared against.",https://avd.aquasec.com/nvd/cve-2018-12886
CVE-2021-33560,libgcrypt20,1.7.6-2+deb9u4,,HIGH,libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm,"Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm, and the window size is not chosen appropriately. This, for example, affects use of ElGamal in OpenPGP.",https://avd.aquasec.com/nvd/cve-2021-33560
CVE-2019-13627,libgcrypt20,1.7.6-2+deb9u4,,MEDIUM,libgcrypt: ECDSA timing attack allowing private key leak,"It was discovered that there was a ECDSA timing attack in the libgcrypt20 cryptographic library. Version affected: 1.8.4-5, 1.7.6-2+deb9u3, and 1.6.3-2+deb8u4. Versions fixed: 1.8.5-2 and 1.6.3-2+deb8u7.",https://avd.aquasec.com/nvd/cve-2019-13627
CVE-2019-17543,liblz4-1,0.0~r131-2+deb9u1,,LOW,lz4: heap-based buffer overflow in LZ4_write32,"LZ4 before 1.9.2 has a heap-based buffer overflow in LZ4_write32 (related to LZ4_compress_destSize), affecting applications that call LZ4_compress_fast with a large input. (This issue can also lead to data corruption.) NOTE: the vendor states ""only a few specific / uncommon usages of the API are at risk.""",https://avd.aquasec.com/nvd/cve-2019-17543
CVE-2016-2779,libmount1,2.29.2-1+deb9u1,,HIGH,util-linux: runuser tty hijack via TIOCSTI ioctl,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2779
CVE-2021-37600,libmount1,2.29.2-1+deb9u1,,LOW,util-linux: integer overflow can lead to buffer overflow in get_sem_elements() in sys-utils/ipcutils.c,"An integer overflow in util-linux through 2.37.1 can potentially cause a buffer overflow if an attacker were able to use system resources in a way that leads to a large number in the /proc/sysvipc/sem file. NOTE: this is unexploitable in GNU C Library environments, and possibly in all realistic environments.",https://avd.aquasec.com/nvd/cve-2021-37600
CVE-2022-29458,libncursesw5,6.0+20161126-1+deb9u2,,HIGH,ncurses: segfaulting OOB read,ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_strings in tinfo/read_entry.c in the terminfo library.,https://avd.aquasec.com/nvd/cve-2022-29458
CVE-2018-19211,libncursesw5,6.0+20161126-1+deb9u2,,LOW,ncurses: Null pointer dereference at function _nc_parse_entry in parse_entry.c,"In ncurses 6.1, there is a NULL pointer dereference at function _nc_parse_entry in parse_entry.c that will lead to a denial of service attack. The product proceeds to the dereference code path even after a ""dubious character `*' in name or alias field"" detection.",https://avd.aquasec.com/nvd/cve-2018-19211
CVE-2019-17594,libncursesw5,6.0+20161126-1+deb9u2,,LOW,ncurses: heap-based buffer overflow in the _nc_find_entry function in tinfo/comp_hash.c,There is a heap-based buffer over-read in the _nc_find_entry function in tinfo/comp_hash.c in the terminfo library in ncurses before 6.1-20191012.,https://avd.aquasec.com/nvd/cve-2019-17594
CVE-2019-17595,libncursesw5,6.0+20161126-1+deb9u2,,LOW,ncurses: heap-based buffer overflow in the fmt_entry function in tinfo/comp_hash.c,There is a heap-based buffer over-read in the fmt_entry function in tinfo/comp_hash.c in the terminfo library in ncurses before 6.1-20191012.,https://avd.aquasec.com/nvd/cve-2019-17595
CVE-2020-14155,libpcre3,2:8.39-3,,MEDIUM,pcre: Integer overflow when parsing callout numeric arguments,libpcre in PCRE before 8.44 allows an integer overflow via a large number after a (?C substring.,https://avd.aquasec.com/nvd/cve-2020-14155
CVE-2021-36084,libsepol1,2.6-2,,LOW,libsepol: use-after-free in __cil_verify_classperms(),The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __cil_verify_classpermission and __cil_pre_verify_helper).,https://avd.aquasec.com/nvd/cve-2021-36084
CVE-2021-36085,libsepol1,2.6-2,,LOW,libsepol: use-after-free in __cil_verify_classperms(),The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __verify_map_perm_classperms and hashtab_map).,https://avd.aquasec.com/nvd/cve-2021-36085
CVE-2021-36086,libsepol1,2.6-2,,LOW,libsepol: use-after-free in cil_reset_classpermission(),The CIL compiler in SELinux 3.2 has a use-after-free in cil_reset_classpermission (called from cil_reset_classperms_set and cil_reset_classperms_list).,https://avd.aquasec.com/nvd/cve-2021-36086
