VulnerabilityID,PkgName,InstalledVersion,FixedVersion,Severity,Title,Description,PrimaryURL
CVE-2017-13716,binutils,2.42-4ubuntu2.5,,LOW,binutils: Memory leak with the C++ symbol demangler routine in libiberty,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd).",https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2017-13716,binutils-common,2.42-4ubuntu2.5,,LOW,binutils: Memory leak with the C++ symbol demangler routine in libiberty,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd).",https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2017-13716,binutils-x86-64-linux-gnu,2.42-4ubuntu2.5,,LOW,binutils: Memory leak with the C++ symbol demangler routine in libiberty,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd).",https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2016-2781,coreutils,9.4-3ubuntu6,,LOW,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",https://avd.aquasec.com/nvd/cve-2016-2781
CVE-2025-0167,curl,8.5.0-2ubuntu10.6,,LOW,When asked to use a `.netrc` file for credentials **and** to follow HT ...,"When asked to use a `.netrc` file for credentials **and** to follow HTTP redirects, curl could leak the password used for the first host to the followed-to host under certain circumstances.  This flaw only manifests itself if the netrc file has a `default` entry that omits both login and password. A rare circumstance.",https://avd.aquasec.com/nvd/cve-2025-0167
CVE-2022-3219,dirmngr,2.4.4-2ubuntu17.2,,LOW,gnupg: denial of service issue (resource consumption) using compressed packets,"GnuPG can be made to spin on a relatively small input by (for example) crafting a public key with thousands of signatures attached, compressed down to just a few KB.",https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2022-3964,ffmpeg,7:6.1.1-3ubuntu5,,MEDIUM,A vulnerability classified as problematic has been found in ffmpeg. Th ...,A vulnerability classified as problematic has been found in ffmpeg. This affects an unknown part of the file libavcodec/rpzaenc.c of the component QuickTime RPZA Video Encoder. The manipulation of the argument y_size leads to out-of-bounds read. It is possible to initiate the attack remotely. The name of the patch is 92f9b28ed84a77138105475beba16c146bdaf984. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-213543.,https://avd.aquasec.com/nvd/cve-2022-3964
CVE-2022-3965,ffmpeg,7:6.1.1-3ubuntu5,,MEDIUM,A vulnerability classified as problematic was found in ffmpeg. This vu ...,A vulnerability classified as problematic was found in ffmpeg. This vulnerability affects the function smc_encode_stream of the file libavcodec/smcenc.c of the component QuickTime Graphics Video Encoder. The manipulation of the argument y_size leads to out-of-bounds read. The attack can be initiated remotely. The name of the patch is 13c13109759090b7f7182480d075e13b36ed8edd. It is recommended to apply a patch to fix this issue. The identifier of this vulnerability is VDB-213544.,https://avd.aquasec.com/nvd/cve-2022-3965
CVE-2022-4907,ffmpeg,7:6.1.1-3ubuntu5,,MEDIUM,Uninitialized Use in FFmpeg in Google Chrome prior to 108.0.5359.71 al ...,Uninitialized Use in FFmpeg in Google Chrome prior to 108.0.5359.71 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: Medium),https://avd.aquasec.com/nvd/cve-2022-4907
CVE-2023-49501,ffmpeg,7:6.1.1-3ubuntu5,,MEDIUM,Buffer Overflow vulnerability in Ffmpeg v.n6.1-3-g466799d4f5 allows a  ...,Buffer Overflow vulnerability in Ffmpeg v.n6.1-3-g466799d4f5 allows a local attacker to execute arbitrary code via the config_eq_output function in the libavfilter/asrc_afirsrc.c:495:30 component.,https://avd.aquasec.com/nvd/cve-2023-49501
